"month","spatial_sd_daily_mean","month_date"
"2019-01",0.206258431535804,2019-01-01
"2019-02",0.153581796612759,2019-02-01
"2019-03",0.244250384050099,2019-03-01
"2019-04",0.370483850917696,2019-04-01
"2019-05",0.657266170406442,2019-05-01
"2019-06",1.78691255029832,2019-06-01
"2019-07",2.72428315941276,2019-07-01
"2019-08",2.5708303961672,2019-08-01
"2019-09",2.31114636776855,2019-09-01
"2019-10",0.857135638709628,2019-10-01
"2019-11",0.237700595370006,2019-11-01
"2019-12",0.226949629789146,2019-12-01
