"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48"
20190101,0.172686929143166,0.216593915705491,0.240308475989424,0.299386329983455,0.233625747313402,0.196113190423098,0.282310915779305,0.212774380355101,0.131730088696206,0.0841021007213111,0.0875952693125651,0.23763807148509,0.297194694674957,0.111618977234745,0.0966812170402459,0.141273068779888,0.138148798296595,0.152492426407901,0.33885442128971,0.340831803997673,0.277432884082145,0.296318393807741,0.266707420145069,0.257341115797266,0.0669973882135469,0.0855841919270573,0.0781878158052621,0.0749936664113265,0.0821384341164129,0.0778811807350899,0.066320994618007,0.0646936776229832,0.0779164549193894,0.126507645383766,0.130098041745971,0.134141022718695,0.128323180888107,0.127313595194696,0.101383693195736,0.104207753202246,0.0865702053200877,0.0818375883780759,0.104614884853419,0.102998845601154,0.0849778079867721,0.0989770149690849,0.116807219499079,0.126007473017516
20190102,0.140080823066759,0.200822594507431,0.221182615169297,0.262061235194068,0.220087196717821,0.180610811760497,0.212263100781424,0.187727545608121,0.118079354934076,0.0657746272940928,0.0849364976832377,0.245081791983119,0.334820173258902,0.161997829607775,0.127443096368896,0.108468731841801,0.0840282926706733,0.0875506211373555,0.311791534292715,0.306987919122838,0.24380121895514,0.26237149553538,0.247664896154266,0.298253826258143,0.0569731449053861,0.0886973846617514,0.077110597882534,0.0793601782073051,0.0777125966174241,0.0788968097610957,0.0784897649312858,0.0799534018297679,0.0978564093403041,0.208144951381245,0.0738532484299196,0.0995939039078979,0.0878069308760245,0.123647787522793,0.0768383364816909,0.104802749952388,0.138456798464206,0.139794194608941,0.141131421881608,0.123452408867234,0.113182889988868,0.164915734762976,0.145376661806369,0.154205920842691
20190103,0.170666424991671,0.207895643323115,0.236227055842235,0.277643402768384,0.237585360536104,0.201090194713614,0.247610002041872,0.22080928531356,0.141538480684632,0.0745401622408065,0.116381698386196,0.26832673326058,0.320792777885747,0.1306007373629,0.0831196796884754,0.135862326564912,0.173172739217218,0.160388656313508,0.309807967290552,0.346903281629868,0.304700233251669,0.298359275571296,0.277418410144282,0.325666190406914,0.0942748481495407,0.13403176514339,0.138391676140263,0.121206299761327,0.117155281213943,0.122258662000586,0.157717657682436,0.159762089822333,0.14592394654142,0.117621369053719,0.126994129579768,0.235786805224476,0.148808866481708,0.120142298388861,0.1269014123067,0.19191537045347,0.139265258949234,0.155996571420016,0.156747465629119,0.239764258034998,0.179097950112828,0.166438324403745,0.158831949571907,0.136708875490187
20190104,0.150616632499238,0.163728597238545,0.191407663552884,0.216627868326732,0.190302247725193,0.173883677050205,0.167394724429356,0.142223612520787,0.143906791272306,0.214670893324689,0.178435177360762,0.317529667581784,0.422604893769668,0.206120356381847,0.195205767950113,0.170822310080258,0.351964218349022,0.143803859977479,0.435244618163496,0.500375816892216,0.441755313263601,0.45134555465976,0.412294270483984,0.498541819837208,0.177001517164383,0.248789228414468,0.249936863204118,0.234720203713948,0.251812336045271,0.18424042531419,0.215585929432776,0.207634927425475,0.194496414995324,0.285619410957279,0.210070692069232,0.223296284097464,0.132592372378993,0.120606158483346,0.109448788785091,0.167411676248849,0.122005688307728,0.119047082406274,0.100829621513437,0.137895370147141,0.132299043323958,0.11574926000551,0.122535164869868,0.196227036974814
20190105,0.132587971647867,0.162545747184204,0.193136536377298,0.266067732080221,0.219038145675419,0.175542933735801,0.200336881112354,0.190845641928922,0.115927001655278,0.151947924148134,0.122060762786952,0.303879468633404,0.434354586596129,0.224177037915335,0.116658095150795,0.175846571311678,0.32230519317706,0.162054748420139,0.505975373510086,0.500162798796005,0.441539250685924,0.454171446176548,0.416022234409267,0.445126264185832,0.195843868485375,0.319828452569903,0.273850688573023,0.315282304418841,0.237868572549681,0.210036570729172,0.205896394961592,0.220742119585657,0.226501892539827,0.242546158713169,0.136000910046801,0.201270601321537,0.139897852804172,0.124482870388323,0.163806429776857,0.150941778041371,0.106342180739082,0.116992381119657,0.157503448674678,0.117537143375821,0.169252808689784,0.14241777894419,0.158072826189549,0.178670436967453
20190106,0.217241869151872,0.224606815270588,0.185108045900716,0.188758894327224,0.170102788158219,0.171327520273679,0.173684295515283,0.168772775164288,0.130014737701196,0.226743963052436,0.192487328914073,0.293663210010389,0.416895627612658,0.152159576772078,0.114651597878987,0.11018183164578,0.241951405132396,0.124552648426774,0.317078269151986,0.363947895498766,0.261868187731636,0.240526897993403,0.265582928866567,0.263270463610559,0.0842542907596889,0.0911465594381451,0.0927202560360902,0.0827184846782472,0.0874390070403384,0.106907123803443,0.0872565537341061,0.103325575372262,0.0844446780088125,0.0620618610253121,0.0671185712272497,0.158293062197925,0.0903699196514366,0.0754186410380106,0.0683576181038559,0.0663615674726059,0.0934360416766926,0.0854347478891244,0.0918819381804133,0.0893715335287055,0.105377059804641,0.144092229630377,0.159101438421593,0.179707836279882
20190107,0.238243745945643,0.247692513812973,0.246044288793514,0.326104785398471,0.273096121086977,0.219507063722921,0.24520464967051,0.220648094155435,0.132017133058952,0.185162099116646,0.153787715188101,0.286999731520483,0.338282981303928,0.23671635032527,0.238660103365123,0.144244926301622,0.44161635255606,0.157618114114479,0.460721887286839,0.507881965107965,0.46953862690154,0.407114857417371,0.388807364632174,0.504583055956641,0.312465170220695,0.405419733403222,0.307404139125542,0.307957064604733,0.318806175450414,0.146244407128872,0.1362422487287,0.226113992614283,0.194596994796046,0.146193559330336,0.149111651318671,0.21528365728602,0.129276030147563,0.132256549606207,0.136865516888012,0.113631289854049,0.0920930879088396,0.192375060070447,0.176897013595514,0.213047479077096,0.116113440011076,0.201714082550083,0.10565968889041,0.135727707839687
20190108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190109,0.104288411746837,0.135276417958573,0.184122114677044,0.194193000301138,0.128073222806017,0.108363793993582,0.0808214148183467,0.0896822489501666,0.0865966816409933,0.186251690189943,0.189235648311785,0.111356127564656,0.0862586900881713,0.312144965742019,0.225645957844909,0.164438218041466,0.0907533977096755,0.0888793962678355,0.0893983191481415,0.0850129308658576,0.17908535948842,0.24740300477086,0.109223531899211,0.104461993389167,0.0895363414732866,0.106049280796967,0.104530849639751,0.121305703075072,0.112051431702309,0.122081414888713,0.197125617223023,0.231152386783996,0.167388891498181,0.153358435673902,0.254252658448881,0.235266732295364,0.197220652095381,0.213606365493275,0.120124860814223,0.0807664202703256,0.0889419739720503,0.0982029113689044,0.0951752212530764,0.104232402405474,0.078837389658787,0.0889336763202693,0.0831814137678888,0.0779408410071368
20190110,0.0756552534663628,0.0827971522751905,0.100677832636798,0.10514383919144,0.086776577115255,0.0781188382718729,0.065920140879975,0.083577456261149,0.085508010638763,0.153755148687095,0.24416019136367,0.116081117490634,0.106227534849609,0.343097565490664,0.22488115693923,0.149584873636025,0.0996814043819511,0.0781973660388379,0.0727398805705888,0.0766649297441398,0.1506557067003,0.230920798473188,0.106103017934045,0.0970350714201852,0.0723214793301006,0.0767117997672527,0.0822202922565174,0.0920772978665788,0.0865255197535948,0.0871419697208182,0.126559668477105,0.134840994516495,0.122195503429673,0.106682448270575,0.211016560540127,0.179820735451581,0.176243910347625,0.204062542067708,0.113529717628787,0.111242729978051,0.0970265188529328,0.0963758895478903,0.0859800530431934,0.0892511945521508,0.0863145383377924,0.0827300814202278,0.0896447908352532,0.0992288179492646
